"trip_id","transport_type","origin_station","destination_station","actual_arrival_delay_min","weather_condition","temperature_C","humidity_percent","wind_speed_kmh","precipitation_mm","event_type","peak_hour","is_late"
"T00490","Metro","Station_39","Station_48",1,"Fog",27.82,53.3,10.29,2.1,"Sports",0,FALSE
"T00491","Bus","Station_38","Station_39",37,"Snow",2.22,53.34,22.66,13.72,"Sports",0,TRUE
"T00492","Bus","Station_21","Station_12",0,"Cloudy",21.09,51.42,19.45,2.3,"No Event",1,FALSE
"T00493","Train","Station_20","Station_15",8,"Clear",14.28,51.58,11.2,2.02,"No Event",1,TRUE
"T00494","Bus","Station_3","Station_31",4,"Clear",24.59,53.24,7.17,2.02,"No Event",1,FALSE
"T00495","Tram","Station_22","Station_14",23,"Snow",8.67,51.7,14.14,17.3,"Festival",1,TRUE
"T00496","Tram","Station_47","Station_11",3,"Cloudy",21.65,49.44,12.61,1.6,"Sports",0,FALSE
"T00497","Metro","Station_4","Station_26",-1,"Cloudy",24.42,55.82,12.89,1.72,"No Event",0,FALSE
"T00498","Bus","Station_28","Station_42",22,"Rain",26.15,45.03,NA,6.99,"Protest",0,TRUE
"T00499","Metro","Station_12","Station_27",-16,"Fog",32.72,58.3,15.22,2.18,"No Event",0,FALSE
"T00500","Tram","Station_38","Station_11",8,"Storm",12.63,NA,48.97,25.73,"No Event",0,TRUE
"T00501","Bus","Station_36","Station_38",13,"Rain",26.79,57.15,15.35,0.9,"Festival",0,TRUE
"T00502","Bus","Station_47","Station_34",3,"Clear",25.45,46.46,15.28,1.84,"Festival",0,FALSE
"T00503","Metro","Station_41","Station_43",1,"Fog",25.91,57.63,16.34,1.21,"Sports",0,FALSE
"T00504","Tram","Station_5","Station_19",2,"Fog",27.53,52.97,10.67,2.38,"No Event",0,FALSE
"T00505","Bus","Station_13","Station_6",13,"Cloudy",27.14,51.09,22.97,1.99,"No Event",0,TRUE
"T00506","Metro","Station_23","Station_46",2,"Fog",15.07,52.18,15.51,1.86,"Festival",0,FALSE
"T00507","Tram","Station_50","Station_38",8,"Snow",2.69,40.23,11.95,13.19,"Concert",0,TRUE
"T00508","Metro","Station_30","Station_49",-5,"Fog",17.49,57.36,22.88,2.26,"No Event",0,FALSE
"T00509","Train","Station_37","Station_42",-2,"Clear",24.66,54.98,15.53,1.82,"No Event",0,FALSE
"T00510","Bus","Station_25","Station_28",39,"Snow",10.8,47.49,11.18,15.61,"Festival",0,TRUE
"T00511","Train","Station_48","Station_1",13,"Snow",2.07,54.88,17.57,16.87,"Festival",0,TRUE
"T00512","Tram","Station_27","Station_35",17,"Rain",15.09,NA,11.39,4.29,"Concert",0,TRUE
"T00513","Train","Station_14","Station_40",2,"Fog",29.47,44.51,NA,1.77,"Sports",0,FALSE
"T00514","Train","Station_48","Station_8",-3,"Cloudy",22.18,50.31,16.73,1.41,"No Event",0,FALSE
"T00515","Tram","Station_47","Station_47",6,"Rain",28.1,52.66,16.66,4.19,"Concert",0,TRUE
"T00516","Metro","Station_36","Station_7",10,"Cloudy",24.12,NA,19.28,1.87,"Concert",0,TRUE
"T00517","Train","Station_39","Station_11",-4,"Fog",34.96,48.98,12.92,2.16,"No Event",0,FALSE
"T00518","Metro","Station_16","Station_39",0,"Rain",17.91,49.5,2.71,4.5,"Protest",0,FALSE
"T00519","Train","Station_22","Station_4",6,"Fog",17.46,45.92,12.97,2.1,"Festival",0,TRUE
"T00520","Metro","Station_21","Station_25",-1,"Clear",22.3,53.81,10.33,1.93,"No Event",0,FALSE
"T00521","Tram","Station_21","Station_12",4,"Rain",22.01,49.38,12.31,7.54,"Protest",0,FALSE
"T00522","Train","Station_8","Station_26",5,"Cloudy",25.45,44.64,19.64,2.53,"Concert",0,TRUE
"T00523","Tram","Station_49","Station_38",10,"Clear",30.11,49.34,15.67,1.93,"No Event",0,TRUE
"T00524","Train","Station_16","Station_46",11,"Storm",8.73,53.87,31.33,17.6,"Protest",0,TRUE
"T00525","Tram","Station_31","Station_12",-2,"Cloudy",20.48,46.47,12.67,1.83,"No Event",0,FALSE
"T00526","Tram","Station_42","Station_43",13,"Fog",21.55,47.69,10.48,1.99,"Sports",0,TRUE
"T00527","Train","Station_10","Station_37",4,"Cloudy",24.29,46.36,22.75,2.4,"No Event",0,FALSE
"T00528","Train","Station_32","Station_46",20,"Storm",12.97,54.94,51.36,21.16,"Sports",0,TRUE
"T00529","Train","Station_34","Station_24",-1,"Cloudy",25.81,48.43,23.88,1.79,"No Event",0,FALSE
"T00530","Bus","Station_9","Station_16",-1,"Clear",25.3,57.94,16.7,1.72,"No Event",0,FALSE
"T00531","Metro","Station_17","Station_13",32,"Snow",2.96,47.42,12.43,14.4,"No Event",0,TRUE
"T00532","Bus","Station_11","Station_25",11,"Cloudy",24.81,53.12,19.71,2.27,"No Event",1,TRUE
"T00533","Bus","Station_32","Station_4",30,"Rain",23.91,59.8,17.95,7.1,"No Event",1,TRUE
"T00534","Tram","Station_10","Station_11",25,"Storm",23.98,45.72,47.19,29.13,"No Event",1,TRUE
"T00535","Train","Station_22","Station_32",11,"Cloudy",24.11,54.32,11.27,1.81,"Sports",1,TRUE
"T00536","Metro","Station_17","Station_49",19,"Storm",19.92,59.95,48.35,16.45,"Festival",0,TRUE
"T00537","Tram","Station_4","Station_7",14,"Snow",2.58,52.34,17.76,14.81,"Festival",0,TRUE
"T00538","Bus","Station_48","Station_46",6,"Clear",19.51,49.92,11.21,2.35,"Festival",0,TRUE
"T00539","Train","Station_47","Station_11",1,"Rain",13.15,61.84,24.53,10.8,"Protest",0,FALSE
"T00540","Tram","Station_25","Station_28",-2,"Fog",29.58,35.79,9.44,2.36,"No Event",0,FALSE
"T00541","Train","Station_21","Station_41",3,"Cloudy",21.22,60.12,16.55,2.69,"Sports",0,FALSE
"T00542","Tram","Station_37","Station_23",4,"Clear",31.48,49.01,14.1,1.85,"Sports",0,FALSE
"T00543","Train","Station_38","Station_45",14,"Storm",30.13,53.79,57.4,16.63,"No Event",0,TRUE
"T00544","Bus","Station_49","Station_23",12,"Snow",-0.73,42.99,17.82,14.02,"Concert",0,TRUE
"T00545","Metro","Station_1","Station_50",9,"Storm",21.55,60.18,44.68,25.32,"No Event",0,TRUE
"T00546","Bus","Station_25","Station_28",12,"Snow",NA,53.68,23.41,16.81,"Festival",0,TRUE
"T00547","Metro","Station_36","Station_43",14,"Snow",5.14,50.13,8.09,13.66,"Concert",0,TRUE
"T00548","Train","Station_17","Station_47",11,"Clear",21.79,50.33,9.87,2.23,"Parade",0,TRUE
"T00549","Tram","Station_41","Station_26",-5,"Cloudy",13.8,41.04,15.1,1.98,"No Event",0,FALSE
"T00550","Bus","Station_24","Station_25",17,"Fog",32.78,55.72,16.12,1.7,"No Event",0,TRUE
"T00551","Metro","Station_2","Station_29",5,"Cloudy",NA,49.92,17.62,2.05,"Parade",0,TRUE
"T00552","Bus","Station_40","Station_19",-9,"Rain",21.72,53.09,14.59,4.39,"No Event",0,FALSE
"T00553","Metro","Station_15","Station_33",-2,"Cloudy",18.54,55.93,17.22,2.58,"No Event",0,FALSE
"T00554","Bus","Station_32","Station_36",13,"Snow",-7.7,51.62,15.63,16.11,"Concert",0,TRUE
"T00555","Metro","Station_39","Station_14",16,"Snow",NA,49.13,20.3,15.66,"Festival",0,TRUE
"T00556","Metro","Station_6","Station_14",0,"Rain",21.13,52.01,12.55,10.16,"No Event",0,FALSE
"T00557","Train","Station_1","Station_35",7,"Storm",19.73,NA,45.46,23.48,"No Event",0,TRUE
"T00558","Metro","Station_47","Station_30",7,"Snow",-0.0100000000000016,49.61,22.13,14.56,"No Event",0,TRUE
"T00559","Train","Station_23","Station_28",9,"Rain",22.27,53.1,16.05,NA,"No Event",0,TRUE
"T00560","Metro","Station_39","Station_17",7,"Snow",9.34,44.15,16.84,16.23,"No Event",0,TRUE
"T00561","Tram","Station_17","Station_3",6,"Fog",30.11,49.08,14.44,1.8,"Festival",0,TRUE
"T00562","Tram","Station_34","Station_16",11,"Snow",6.08,49.82,4.02,17.24,"Sports",0,TRUE
"T00563","Tram","Station_41","Station_46",8,"Clear",21.79,47.69,13.55,1.79,"Festival",0,TRUE
"T00564","Metro","Station_29","Station_30",1,"Rain",19.9,50.76,NA,-4.35,"No Event",0,FALSE
"T00565","Train","Station_9","Station_29",10,"Cloudy",23.88,58.78,12.55,2.08,"Concert",0,TRUE
"T00566","Train","Station_13","Station_45",13,"Rain",11.94,51.56,5.02,-2.69,"Parade",0,TRUE
"T00567","Metro","Station_6","Station_15",17,"Storm",0.640000000000001,53.34,40.54,22.06,"Concert",0,TRUE
"T00568","Tram","Station_6","Station_46",3,"Snow",-0.690000000000001,51.93,2.96,13.56,"No Event",0,FALSE
"T00569","Tram","Station_20","Station_25",3,"Rain",15.95,51.81,14.19,7.27,"Parade",0,FALSE
"T00570","Train","Station_3","Station_38",-1,"Fog",20.49,60.06,3.67,2.33,"No Event",0,FALSE
"T00571","Tram","Station_17","Station_42",1,"Rain",15.05,51.97,3.2,13.67,"Protest",0,FALSE
"T00572","Bus","Station_49","Station_47",15,"Fog",27.6,53.93,11.05,1.41,"No Event",0,TRUE
"T00573","Train","Station_12","Station_38",13,"Snow",0.800000000000001,47.87,17.89,14.64,"Concert",0,TRUE
"T00574","Tram","Station_48","Station_23",11,"Cloudy",21.36,53.33,11.87,2.19,"Festival",0,TRUE
"T00575","Train","Station_47","Station_25",5,"Snow",10.25,44.45,16.64,14.24,"No Event",0,TRUE
"T00576","Bus","Station_45","Station_42",33,"Storm",NA,57.49,NA,27.07,"No Event",0,TRUE
"T00577","Train","Station_1","Station_7",0,"Clear",28.1,55.76,16.61,1.8,"No Event",0,FALSE
"T00578","Train","Station_17","Station_22",-5,"Cloudy",19.49,53.01,7.9,2.26,"No Event",0,FALSE
"T00579","Train","Station_3","Station_17",-7,"Cloudy",18.51,39.96,21.68,2,"No Event",0,FALSE
"T00580","Train","Station_26","Station_18",0,"Clear",22.49,53.65,15.38,1.65,"Sports",0,FALSE
"T00581","Bus","Station_15","Station_49",11,"Rain",11.21,49.22,13.62,4.01,"No Event",0,TRUE
"T00582","Metro","Station_36","Station_41",9,"Snow",7.37,51.8,12.34,15.77,"No Event",0,TRUE
"T00583","Train","Station_32","Station_10",3,"Rain",24.2,61.72,23.94,5.41,"No Event",0,FALSE
"T00584","Train","Station_32","Station_10",-1,"Rain",24.54,58.8,17.65,13.25,"No Event",0,FALSE
"T00585","Tram","Station_4","Station_7",6,"Snow",6.21,50.96,19.07,16,"Concert",0,TRUE
"T00586","Train","Station_18","Station_48",15,"Storm",8.31,50.73,54.44,24,"Sports",0,TRUE
"T00587","Tram","Station_49","Station_50",9,"Cloudy",27.39,49.86,19.77,1.54,"Festival",0,TRUE
"T00588","Metro","Station_19","Station_38",4,"Fog",30.21,51.03,18.77,NA,"No Event",1,FALSE
"T00589","Bus","Station_43","Station_27",14,"Clear",24.65,60.48,5.46,2.29,"No Event",1,TRUE
"T00590","Bus","Station_35","Station_33",8,"Cloudy",17.93,50.08,13.81,2.26,"No Event",1,TRUE
"T00591","Metro","Station_40","Station_1",6,"Rain",29.87,52.08,9.24,7.34,"No Event",1,TRUE
"T00592","Bus","Station_14","Station_44",14,"Clear",27.22,58.34,23.84,1.94,"No Event",0,TRUE
"T00593","Metro","Station_33","Station_34",-6,"Fog",25.36,49.69,18.28,1.78,"Protest",0,FALSE
"T00594","Metro","Station_14","Station_4",-8,"Cloudy",17.45,47.42,14.32,1.81,"No Event",0,FALSE
"T00595","Metro","Station_34","Station_17",-8,"Cloudy",19.95,61.91,26.64,2,"No Event",0,FALSE
"T00596","Bus","Station_4","Station_4",19,"Storm",8.79,46.76,47.6,27.35,"Sports",0,TRUE
"T00597","Tram","Station_24","Station_43",-5,"Cloudy",32.24,54.59,15.4,2.02,"Concert",0,FALSE
"T00598","Metro","Station_29","Station_26",-3,"Cloudy",15.8,46.24,16.19,1.83,"No Event",0,FALSE
"T00599","Train","Station_19","Station_4",1,"Fog",17.83,52.97,10.56,2.28,"Concert",0,FALSE
"T00600","Bus","Station_6","Station_1",24,"Fog",30.41,45.97,24.18,1.79,"Parade",0,TRUE
"T00601","Metro","Station_33","Station_7",-2,"Clear",26.19,56.87,13,1.79,"No Event",0,FALSE
"T00602","Metro","Station_49","Station_30",1,"Rain",15.65,61.7,20.8,11.32,"No Event",0,FALSE
"T00603","Train","Station_40","Station_50",-4,"Fog",26.09,52.57,8.08,2.08,"No Event",0,FALSE
"T00604","Tram","Station_19","Station_9",2,"Clear",34.9,55.01,18.86,1.61,"Sports",0,FALSE
"T00605","Tram","Station_1","Station_35",-4,"Cloudy",22.49,51.11,10.43,2.56,"No Event",0,FALSE
"T00606","Tram","Station_5","Station_8",5,"Clear",19.91,60.93,12.23,2.17,"Parade",0,TRUE
"T00607","Metro","Station_27","Station_24",1,"Clear",24.96,46.7,6.76,1.21,"Sports",0,FALSE
"T00608","Metro","Station_16","Station_19",-3,"Clear",21.2,51.59,NA,1.78,"No Event",0,FALSE
"T00609","Metro","Station_6","Station_36",6,"Snow",3.89,41.01,26.74,14.42,"No Event",0,TRUE
"T00610","Bus","Station_40","Station_50",25,"Clear",25.79,53.28,NA,1.7,"No Event",0,TRUE
"T00611","Train","Station_13","Station_43",-8,"Fog",22.11,52.81,11.37,2.25,"No Event",0,FALSE
"T00612","Metro","Station_48","Station_27",21,"Snow",5.14,48.99,15.83,13.63,"Festival",0,TRUE
"T00613","Train","Station_35","Station_32",-1,"Rain",14.75,52.78,15.01,2.06,"No Event",0,FALSE
"T00614","Train","Station_19","Station_14",-8,"Clear",27.35,54.32,23,1.54,"No Event",0,FALSE
"T00615","Tram","Station_12","Station_18",7,"Storm",18.5,55.18,46.38,15.88,"No Event",0,TRUE
"T00616","Bus","Station_16","Station_28",0,"Cloudy",34.02,66.13,15.61,1.67,"No Event",0,FALSE
"T00617","Metro","Station_43","Station_29",-2,"Cloudy",26.95,53.97,23.54,2.57,"No Event",0,FALSE
"T00618","Tram","Station_10","Station_16",18,"Snow",4.2,43.98,14.87,14.75,"No Event",0,TRUE
"T00619","Tram","Station_25","Station_35",14,"Cloudy",16.28,49.27,11.37,1.64,"Concert",0,TRUE
"T00620","Metro","Station_20","Station_47",-2,"Cloudy",24.91,46.08,NA,2.13,"No Event",0,FALSE
"T00621","Train","Station_31","Station_31",0,"Snow",6.13,47.7,11.46,16.3,"No Event",0,FALSE
"T00622","Tram","Station_4","Station_4",4,"Cloudy",24.88,56.21,19.42,2.37,"Concert",0,FALSE
"T00623","Train","Station_44","Station_37",1,"Clear",21.14,43.64,18.37,2.06,"No Event",0,FALSE
"T00624","Bus","Station_23","Station_17",16,"Rain",12.36,54.27,24.64,8.91,"No Event",0,TRUE
"T00625","Train","Station_2","Station_39",3,"Snow",2.7,52.03,15.57,16.14,"No Event",0,FALSE
"T00626","Bus","Station_22","Station_48",9,"Storm",3.93,59.79,50.17,14.91,"No Event",0,TRUE
"T00627","Train","Station_37","Station_46",14,"Snow",15.12,49.56,16.34,13.35,"Parade",0,TRUE
"T00628","Tram","Station_8","Station_26",4,"Fog",31.67,48.78,20.01,2.5,"No Event",1,FALSE
"T00629","Tram","Station_7","Station_48",23,"Storm",2.48,57.59,38.2,25.67,"Concert",1,TRUE
"T00630","Bus","Station_14","Station_39",-10,"Fog",22.48,55.6,14.63,1.77,"No Event",1,FALSE
"T00631","Metro","Station_3","Station_41",21,"Snow",1.63,51.39,17.67,13.76,"No Event",1,TRUE
"T00632","Bus","Station_50","Station_4",6,"Fog",25.24,52.94,12.94,2.38,"Sports",0,TRUE
"T00633","Bus","Station_16","Station_30",34,"Storm",10.67,60.38,56.44,20.03,"No Event",0,TRUE
"T00634","Train","Station_19","Station_30",5,"Clear",17.45,49.97,15.07,1.82,"Sports",0,TRUE
"T00635","Train","Station_18","Station_22",1,"Snow",1.81,52.52,15.13,14.89,"No Event",0,FALSE
"T00636","Bus","Station_16","Station_11",7,"Snow",3.66,40,15.39,14.08,"No Event",0,TRUE
"T00637","Tram","Station_8","Station_2",1,"Cloudy",18.4,51.09,15.44,2.02,"Sports",0,FALSE
"T00638","Train","Station_33","Station_44",8,"Snow",8.13,48.03,10.43,14.55,"No Event",0,TRUE
"T00639","Metro","Station_49","Station_12",17,"Snow",-7.28,45.93,NA,14.37,"Sports",0,TRUE
"T00640","Train","Station_12","Station_30",-6,"Clear",35.33,52.58,19.64,2.11,"No Event",0,FALSE
"T00641","Train","Station_11","Station_36",9,"Cloudy",22.79,44.58,18.48,1.5,"Sports",0,TRUE
"T00642","Metro","Station_5","Station_18",2,"Rain",13.67,49.01,8.92,14.88,"No Event",0,FALSE
"T00643","Bus","Station_27","Station_26",8,"Fog",33.53,49.16,NA,NA,"Concert",0,TRUE
"T00644","Metro","Station_12","Station_7",16,"Storm",7.08,56.52,40.12,9.75,"Festival",0,TRUE
"T00645","Bus","Station_17","Station_1",16,"Rain",22.06,50.69,10.39,11.63,"No Event",0,TRUE
"T00646","Bus","Station_6","Station_26",-5,"Cloudy",17.64,56.92,10.73,1.87,"No Event",0,FALSE
"T00647","Bus","Station_33","Station_23",33,"Clear",23.34,56.29,18.65,NA,"Festival",0,TRUE
"T00648","Metro","Station_5","Station_26",18,"Storm",23.28,50.45,45.55,24.3,"No Event",0,TRUE
"T00649","Bus","Station_28","Station_45",4,"Fog",25.08,51.74,NA,2,"Concert",0,FALSE
"T00650","Tram","Station_14","Station_6",12,"Snow",12.47,46.98,14.11,16.09,"Festival",0,TRUE
"T00651","Metro","Station_5","Station_6",10,"Snow",7.76,46.74,8.25,16.05,"Concert",0,TRUE
"T00652","Tram","Station_33","Station_44",5,"Rain",19.71,46.87,16.44,9.36,"No Event",0,TRUE
"T00653","Bus","Station_50","Station_8",4,"Fog",29.35,52.63,11.33,1.75,"No Event",0,FALSE
"T00654","Train","Station_48","Station_24",-6,"Cloudy",NA,58.72,11.23,1.58,"No Event",0,FALSE
"T00655","Bus","Station_41","Station_22",-1,"Fog",21.77,50.85,11.65,1.69,"No Event",0,FALSE
"T00656","Tram","Station_19","Station_19",-2,"Clear",27.98,54.58,18.95,2.13,"No Event",0,FALSE
"T00657","Tram","Station_22","Station_37",-1,"Rain",NA,49.55,16.23,8.13,"Sports",0,FALSE
"T00658","Metro","Station_5","Station_18",6,"Rain",27.3,48.3,7.97,1.87,"No Event",0,TRUE
"T00659","Train","Station_2","Station_31",3,"Clear",33.15,61.41,10.67,1.73,"Festival",0,FALSE
"T00660","Metro","Station_30","Station_37",-4,"Fog",31.06,44.93,6.49,2.14,"Protest",0,FALSE
"T00661","Tram","Station_47","Station_30",5,"Clear",23.12,51.83,19.78,2.33,"Festival",0,TRUE
"T00662","Bus","Station_39","Station_42",12,"Storm",18.11,56.48,42.26,26.05,"No Event",0,TRUE
"T00663","Train","Station_4","Station_33",-4,"Clear",26.59,52.7,11.86,1.88,"No Event",0,FALSE
"T00664","Bus","Station_33","Station_10",4,"Fog",17.34,54.49,19.27,1.97,"No Event",0,FALSE
"T00665","Bus","Station_13","Station_37",12,"Clear",21.19,49.49,13.03,2.22,"No Event",0,TRUE
"T00666","Train","Station_20","Station_12",13,"Cloudy",9.68,53.22,19.65,2.05,"Concert",0,TRUE
"T00667","Metro","Station_7","Station_30",5,"Snow",15.73,54.32,27.2,14.74,"Protest",0,TRUE
"T00668","Bus","Station_15","Station_27",-2,"Clear",32.77,58.34,16.99,1.7,"No Event",0,FALSE
"T00669","Tram","Station_23","Station_39",7,"Snow",5.45,47.87,20.89,13.67,"No Event",0,TRUE
"T00670","Bus","Station_14","Station_9",3,"Clear",28.59,55.09,15.66,1.92,"No Event",0,FALSE
"T00671","Train","Station_23","Station_21",3,"Fog",27.8,40.98,22.36,1.74,"Sports",0,FALSE
"T00672","Train","Station_19","Station_12",22,"Storm",11.46,46.37,42.62,18.98,"Festival",0,TRUE
"T00673","Train","Station_29","Station_29",13,"Storm",11.51,56.1,36.91,16.33,"No Event",0,TRUE
"T00674","Metro","Station_20","Station_33",16,"Snow",-3.02,57.32,11.77,17.4,"No Event",0,TRUE
"T00675","Bus","Station_29","Station_43",21,"Fog",26.88,46.28,12.26,2.07,"Festival",0,TRUE
"T00676","Metro","Station_24","Station_15",-2,"Fog",28.15,48.34,12.53,1.78,"No Event",0,FALSE
"T00677","Metro","Station_18","Station_2",3,"Fog",8.03,53.03,16.32,NA,"Sports",0,FALSE
"T00678","Train","Station_10","Station_39",3,"Cloudy",32.96,49.84,7.14,1.8,"No Event",0,FALSE
"T00679","Train","Station_41","Station_44",1,"Rain",19.19,46.36,16.35,-1.99,"No Event",0,FALSE
"T00680","Metro","Station_8","Station_18",-6,"Clear",28.82,56.87,15.39,1.79,"No Event",0,FALSE
"T00681","Bus","Station_26","Station_3",11,"Fog",25.84,54.99,7.7,1.73,"Sports",0,TRUE
"T00682","Tram","Station_29","Station_7",-4,"Fog",25.61,48.11,24.14,2.07,"No Event",0,FALSE
"T00683","Metro","Station_10","Station_43",6,"Fog",31.02,54.23,7.67,1.89,"No Event",0,TRUE
"T00684","Bus","Station_17","Station_18",19,"Storm",15.18,58.39,39.74,13.14,"No Event",1,TRUE
"T00685","Train","Station_2","Station_44",2,"Fog",28.7,56.61,15.36,1.52,"No Event",1,FALSE
"T00686","Train","Station_6","Station_38",3,"Clear",27.66,53.54,14.64,1.97,"Festival",1,FALSE
"T00687","Bus","Station_5","Station_37",27,"Fog",26,53.78,18.49,1.7,"Protest",1,TRUE
"T00688","Tram","Station_28","Station_33",4,"Clear",29.22,59.07,26.44,2.46,"No Event",0,FALSE
"T00689","Train","Station_41","Station_44",7,"Cloudy",10.6,51.01,17.26,2.78,"Festival",0,TRUE
"T00690","Train","Station_5","Station_31",1,"Rain",24.03,53.77,12.42,6.82,"No Event",0,FALSE
"T00691","Train","Station_18","Station_11",13,"Storm",18.5,54.37,37.26,11.99,"No Event",0,TRUE
"T00692","Bus","Station_26","Station_4",8,"Clear",20.01,48.78,21.81,2.53,"Sports",0,TRUE
"T00693","Metro","Station_20","Station_18",7,"Snow",17.6,47.24,9.2,16,"No Event",0,TRUE
"T00694","Train","Station_41","Station_4",-2,"Cloudy",35.58,47.33,24.18,1.86,"No Event",0,FALSE
"T00695","Metro","Station_49","Station_49",6,"Rain",14.89,50.2,15.86,-1.2,"No Event",0,TRUE
"T00696","Tram","Station_27","Station_34",6,"Rain",19.21,60.52,8.03,13.48,"Sports",0,TRUE
"T00697","Train","Station_49","Station_29",0,"Rain",15.21,52.5,15.67,6.78,"No Event",0,FALSE
"T00698","Train","Station_12","Station_24",-14,"Clear",25.68,59.21,14.02,1.88,"No Event",0,FALSE
"T00699","Tram","Station_7","Station_22",-7,"Cloudy",13.69,57.86,15.34,1.77,"Protest",0,FALSE
"T00700","Train","Station_3","Station_2",-1,"Fog",20.61,52.96,9.65,1.71,"Sports",0,FALSE
"T00701","Metro","Station_10","Station_44",17,"Snow",1.59,47.92,19.77,13.38,"Sports",0,TRUE
"T00702","Bus","Station_34","Station_6",6,"Cloudy",22.08,50.8,NA,1.67,"No Event",0,TRUE
"T00703","Metro","Station_25","Station_42",3,"Cloudy",24.59,53.42,9.47,2.07,"No Event",0,FALSE
"T00704","Bus","Station_35","Station_25",20,"Cloudy",18.87,57.5,7.77,1.98,"No Event",0,TRUE
"T00705","Bus","Station_16","Station_21",20,"Clear",17.43,53.43,13.86,1.64,"Sports",0,TRUE
"T00706","Metro","Station_2","Station_16",11,"Snow",-1.63,51.41,12.23,18.5,"Sports",0,TRUE
"T00707","Metro","Station_24","Station_31",9,"Clear",28.08,43.83,16.18,1.71,"Parade",0,TRUE
"T00708","Metro","Station_10","Station_14",12,"Snow",6.04,42.67,8.58,16.46,"No Event",0,TRUE
"T00709","Metro","Station_38","Station_39",7,"Snow",0.25,53.03,9.21,15.76,"No Event",0,TRUE
"T00710","Tram","Station_22","Station_28",-1,"Clear",22.91,58.47,12.86,1.62,"No Event",0,FALSE
"T00711","Train","Station_26","Station_32",4,"Snow",5.3,44.34,10.19,16.12,"No Event",0,FALSE
"T00712","Bus","Station_43","Station_28",1,"Cloudy",19.03,41.76,22.88,2.09,"No Event",0,FALSE
"T00713","Metro","Station_39","Station_49",10,"Clear",22.91,48.1,13.24,1.63,"Parade",0,TRUE
"T00714","Metro","Station_27","Station_9",5,"Snow",12.79,49.82,18.05,17.3,"No Event",0,TRUE
"T00715","Metro","Station_29","Station_45",4,"Rain",16.02,50.69,11.54,7.89,"No Event",0,FALSE
"T00716","Tram","Station_47","Station_22",4,"Clear",20,55.77,12.9,1.83,"Concert",0,FALSE
"T00717","Metro","Station_38","Station_32",12,"Storm",20.52,58.59,38.47,22.96,"No Event",0,TRUE
"T00718","Metro","Station_20","Station_5",-4,"Clear",23.72,55.31,8.75,1.9,"Protest",0,FALSE
"T00719","Metro","Station_27","Station_23",12,"Clear",23.29,50.06,8.65,2.43,"Concert",0,TRUE
"T00720","Train","Station_41","Station_5",-4,"Clear",24.17,57.67,13.99,1.93,"No Event",0,FALSE
"T00721","Tram","Station_20","Station_42",14,"Snow",-0.670000000000002,52.16,13.86,15.18,"Concert",0,TRUE
"T00722","Metro","Station_44","Station_32",-1,"Clear",19,61.43,16.71,2.42,"No Event",0,FALSE
"T00723","Bus","Station_19","Station_10",28,"Storm",20.1,59.2,46.5,24,"No Event",0,TRUE
"T00724","Bus","Station_20","Station_39",8,"Fog",22.78,44.82,13.52,1.22,"No Event",1,TRUE
"T00725","Bus","Station_35","Station_15",13,"Clear",27.8,51.34,24.41,2.05,"No Event",1,TRUE
"T00726","Tram","Station_47","Station_7",6,"Rain",20.29,49.1,18.91,5.26,"No Event",1,TRUE
"T00727","Tram","Station_2","Station_29",16,"Storm",17.54,54.53,66.02,22.06,"No Event",1,TRUE
"T00728","Bus","Station_30","Station_47",-6,"Fog",25.85,59.19,19.72,2.1,"No Event",0,FALSE
"T00729","Metro","Station_34","Station_3",6,"Snow",-1.24,38.75,10.59,16.38,"No Event",0,TRUE
"T00730","Tram","Station_22","Station_19",6,"Clear",16.38,NA,17.27,2.08,"Concert",0,TRUE
"T00731","Bus","Station_3","Station_10",20,"Fog",35.95,53.56,13.96,2.47,"Parade",0,TRUE
"T00732","Bus","Station_6","Station_28",18,"Rain",15.14,47.12,11.13,2.78,"Concert",0,TRUE
"T00733","Metro","Station_15","Station_29",13,"Storm",3.63,57.22,49.77,17.73,"No Event",0,TRUE
"T00734","Train","Station_27","Station_15",7,"Storm",14.12,47.31,53.15,16.27,"Protest",0,TRUE
"T00735","Tram","Station_10","Station_35",20,"Snow",-0.170000000000002,50.59,15.21,15.05,"Concert",0,TRUE
"T00736","Metro","Station_9","Station_6",8,"Snow",-6.4,43.64,7.29,15.6,"No Event",0,TRUE
"T00737","Bus","Station_33","Station_12",32,"Snow",8.71,48.31,20.43,15.97,"No Event",0,TRUE
"T00738","Bus","Station_32","Station_47",-6,"Fog",30.79,46.98,27.25,1.62,"Sports",0,FALSE
"T00739","Metro","Station_48","Station_38",-3,"Clear",20.03,54.95,19.87,2.25,"Sports",0,FALSE
"T00740","Tram","Station_6","Station_13",19,"Cloudy",15.87,56.09,14.75,2.53,"Parade",0,TRUE
"T00741","Train","Station_41","Station_29",20,"Storm",15.91,55.42,48.83,24.31,"Concert",0,TRUE
"T00742","Train","Station_36","Station_19",6,"Cloudy",22.81,52.72,6.59,2.23,"Festival",0,TRUE
"T00743","Bus","Station_2","Station_3",13,"Storm",1.93,48.26,47.23,25.3,"No Event",0,TRUE
"T00744","Tram","Station_29","Station_8",11,"Snow",3.52,47.94,20.07,14.86,"No Event",0,TRUE
"T00745","Train","Station_4","Station_8",9,"Clear",26.06,52.16,22.73,2,"Festival",0,TRUE
